entity_id,canonical_name,category_slug,rank,media_status,review_status,rights_status,is_publishable,priority,reason
"transfermarkt:world-cup:player:e0cbd48e4220c983d0bc20e3","Lionel Messi","world-cup-goals","2","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:142f3bb04550dc5e2f02bdd8","Miroslav Klose","world-cup-goals","3","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:ee353ea3ec0b143f6f5fb032","Ronaldo","world-cup-goals","4","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:ba9459195f1c91f27eac05dc","Gerd Müller","world-cup-goals","5","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:4a3c94c4023852ebc490ff8f","Harry Kane","world-cup-goals","5","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:60b9f1301d8ba69070e83af0","Just Fontaine","world-cup-goals","7","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:0f03fc0cf25d0c58202b8f98","Pelé","world-cup-goals","8","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:08acf787022849299b30ba6a","Cristiano Ronaldo","world-cup-goals","9","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:4e1e0ec1c733d4220521a4a4","Sándor Kocsis","world-cup-goals","9","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:e8ffdf6a1c959832f75eac0a","Gary Lineker","world-cup-goals","12","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:a32bb03e7a3742893dd3f7a3","Grzegorz Lato","world-cup-goals","12","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:c3d6c2623b247e42120cbd68","Helmut Rahn","world-cup-goals","12","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:82e85a04938cf6b187c8456d","Teófilo Cubillas","world-cup-goals","12","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:70cc893c99cf8f0529a17150","Thomas Müller","world-cup-goals","12","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:3885ec2e25136d206ab6b3f2","Neymar","world-cup-goals","18","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:37b048dc34b525d71f181e89","Paolo Rossi","world-cup-goals","18","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"transfermarkt:world-cup:player:07764ef34483a7bdc0e228ba","Uwe Seeler","world-cup-goals","18","fallback","missing","missing","false","true","No existe retrato aprobado; se sirve fallback propio."
"api-football:player:2527","Abdelkarim Hassan","club-world-cup-red_cards","1","licensed","approved","approved","true","false","Existe un retrato aprobado y publicable."
"pl:player:6362","Aleksandar Dragović","uefa-cup-europa-league-yellow_cards","1","licensed","approved","approved","true","false","Existe un retrato aprobado y publicable."
"pl:player:5879","Aleksandar Mitrović","club-world-cup-assists","1","licensed","approved","approved","true","false","Existe un retrato aprobado y publicable."
"pl:player:5879","Aleksandar Mitrović","club-world-cup-yellow_cards","1","licensed","approved","approved","true","false","Existe un retrato aprobado y publicable."
"api-football:player:70343","Aleksandr Marochkin","nations-league-red_cards","1","fallback","pending","review_required","false","false","Existe un candidato pendiente de revisión; no es publicable todavía."
"api-football:player:5933","Alexander Barboza","copa-sudamericana-yellow_cards","1","fallback","pending","review_required","false","false","Existe un candidato pendiente de revisión; no es publicable todavía."
"pl:player:10475","Ander Herrera","club-world-cup-red_cards","1","fallback","pending","review_required","false","false","Existe un candidato pendiente de revisión; no es publicable todavía."
"rsssf:goalkeeper:player:3c848e2ddb30c985550710c0","Andoni Zubizarreta","la-liga-clean_sheets","1","licensed","approved","approved","true","false","Existe un retrato aprobado y publicable."
"pl:player:11366","André Carrillo","club-world-cup-red_cards","1","fallback","pending","review_required","false","false","Existe un candidato pendiente de revisión; no es publicable todavía."
"rsssf:serie-a:player:33539bb56d56d9ef3b84bf95","Andrea Belotti","club-world-cup-red_cards","1","licensed","approved","approved","true","false","Existe un retrato aprobado y publicable."
"api-football:player:2622","Andrey Semenov","nations-league-red_cards","1","fallback","pending","review_required","false","false","Existe un candidato pendiente de revisión; no es publicable todavía."
"pl:player:20855","Anel Ahmedhodžić","nations-league-red_cards","1","fallback","pending","review_required","false","false","Existe un candidato pendiente de revisión; no es publicable todavía."
"pl:player:5794","Ángel Di María","uefa-champions-league-assists","1","licensed","approved","approved","true","false","Existe un retrato aprobado y publicable."
